Link,Title,sno,Total,Link_title
content/page-1,001-Alfaatiha,1,7,001-Alfaatiha
content/page-2,002-Albaqarah,2,286,002-Albaqarah
content/page-50,003-Aalimran,3,200,003-Aalimran
content/page-77,004-An-Nisa,4,176,004-An-Nisa
content/page-106,005-Al-Maeda,5,120,005-Al-Maeda
content/page-128,006-Al-Anaam,6,165,006-Al-Anaam
content/page-151,007-Al-Araf,7,206,007-Al-Araf
content/page-177,008-Anfaal,8,75,008-Anfaal
content/page-187,009-At-Taubah,9,129,009-At-Taubah
content/page-208,010-Yunus,10,109,010-Yunus
content/page-221,011-Hud,11,123,011-Hud
content/page-235,012-Yusuf,12,111,012-Yusuf
content/page-249,013-Ar-Rad,13,43,013-Ar-Rad
content/page-255,014-Ibrahim,14,52,014-Ibrahim
content/page-262,015-Al-Hijr,15,99,015-Al-Hijr
content/page-267,016-An-Nahl,16,128,016-An-Nahl
content/page-282,017-Al-Isra,17,111,017-Al-Isra
content/page-293,018-Al-Kahf,18,110,018-Al-Kahf
content/page-305,019-Maryam,19,98,019-Maryam
content/page-312,020-Taha,20,135,020-Taha
content/page-322,021-Al-Anbiyaa,21,112,021-Al-Anbiyaa
content/page-332,022-Al-Haj,22,78,022-Al-Haj
content/page-342,023-Al-Mumenoon,23,118,023-Al-Mumenoon
content/page-350,024-An-Noor,24,64,024-An-Noor
content/page-359,025-Al-Furqan,25,77,025-Al-Furqan
content/page-367,026-Ash-Shuaraa,26,227,026-Ash-Shuaraa
content/page-377,027-An-Naml,27,93,027-An-Naml
content/page-385,028-Al-Qasas,28,88,028-Al-Qasas
content/page-396,029-Al-Ankaboot,29,69,029-Al-Ankaboot
content/page-404,030-Ar-Room,30,60,030-Ar-Room
content/page-411,031-Luqman,31,34,031-Luqman
content/page-415,032-As-Sajda,32,30,032-As-Sajda
content/page-418,033-Al-Ahzab,33,73,033-Al-Ahzab
content/page-428,034-Saba,34,54,034-Saba
content/page-434,035-Fatir,35,45,035-Fatir
content/page-440,036-Ya-Seen,36,83,036-Ya-Seen
content/page-446,037-As-Saaffat,37,182,037-As-Saaffat
content/page-453,038-Sad,38,88,038-Sad
content/page-458,039-Az-Zumar,39,75,039-Az-Zumar
content/page-467,040-Ghafir,40,85,040-Ghafir
content/page-477,041-Fusilat,41,54,041-Fusilat
content/page-483,042-Ash-Shuara,42,53,042-Ash-Shuara
content/page-489,043-Az-Zuhkruf,43,89,043-Az-Zuhkruf
content/page-496,044-Ad-Dukhan,44,59,044-Ad-Dukhan
content/page-499,045-Al-Jathiya,45,37,045-Al-Jathiya
content/page-502,046-Al-Ahqaf,46,35,046-Al-Ahqaf
content/page-507,047-Muhammad,47,38,047-Muhammad
content/page-511,048-Al-Fath,48,29,048-Al-Fath
content/page-515,049-Al-Hujuraat,49,18,049-Al-Hujuraat
content/page-518,050-Qaf,50,45,050-Qaf
content/page-520,051-Adh-Dhariyat,51,60,051-Adh-Dhariyat
content/page-523,052-At-Tur,52,49,052-At-Tur
content/page-526,053-An-Najm,53,62,053-An-Najm
content/page-528,054-Al-Qamar,54,55,054-Al-Qamar
content/page-531,055-Ar-Rahman,55,78,055-Ar-Rahman
content/page-534,056-Al-Waqia,56,96,056-Al-Waqia
content/page-537,057-Al-Hadid,57,29,057-Al-Hadid
content/page-542,058-Al-Mujadala,58,22,058-Al-Mujadala
content/page-545,059-Al-Hashr,59,24,059-Al-Hashr
content/page-549,060-Al-Mumtahana,60,13,060-Al-Mumtahana
content/page-551,061-As-Saff,61,14,061-As-Saff
content/page-553,062-Al-Jumua,62,11,062-Al-Jumua
content/page-554,063-Al-Munaafiqoon,63,11,063-Al-Munaafiqoon
content/page-556,064-At-taghabun,64,18,064-At-taghabun
content/page-558,065-At-Talaq,65,12,065-At-Talaq
content/page-560,066-At-Tahrim,66,12,066-At-Tahrim
content/page-562,067-Al-Mulk,67,30,067-Al-Mulk
content/page-564,068-Al-Qalam,68,52,068-Al-Qalam
content/page-566,069-Al-Haaqqa,69,52,069-Al-Haaqqa
content/page-568,070-Al-Maarij,70,44,070-Al-Maarij
content/page-570,071-Nooh,71,28,071-Nooh
content/page-572,072-Al-Jinn,72,28,072-Al-Jinn
content/page-574,073-Al-Muzammil,73,20,073-Al-Muzammil
content/page-575,074-Al-Mudaththir,74,56,074-Al-Mudaththir
content/page-577,075-Al-Qiyamah,75,40,075-Al-Qiyamah
content/page-578,076-Al-Insan,76,31,076-Al-Insan
content/page-580,077-Al-Mursalat,77,50,077-Al-Mursalat
content/page-582,078-An-Naba,78,40,078-An-Naba
content/page-583,079-An-Naziat,79,46,079-An-Naziat
content/page-585,080-Abasa,80,42,080-Abasa
content/page-586,081-Takwir,81,29,081-Takwir
content/page-587,082-Al-Infitar,82,19,082-Al-Infitar
content/page-587,083-Al-Mutaffifin,83,36,083-Al-Mutaffifin
content/page-589,084-Al-Inshiqaq,84,25,084-Al-Inshiqaq
content/page-590,085-Al-Buruj,85,22,085-Al-Buruj
content/page-591,086-At-Tariq,86,17,086-At-Tariq
content/page-591,087-Al-Alaa,87,19,087-Al-Alaa
content/page-592,088-Al-Ghashiya,88,26,088-Al-Ghashiya
content/page-593,089-Al-Jajr,89,30,089-Al-Jajr
content/page-594,090-Al-Balad,90,20,090-Al-Balad
content/page-595,091-Ash-Shams,91,15,091-Ash-Shams
content/page-595,092-Al-Lail,92,21,092-Al-Lail
content/page-596,093-Ad-Dhuha,93,11,093-Ad-Dhuha
content/page-596,094-Al-Sharh,94,8,094-Al-Sharh
content/page-597,095-At-Tin,95,8,095-At-Tin
content/page-597,096-Al-Alaq,96,19,096-Al-Alaq
content/page-597,097-Al-Qadr,98,5,097-Al-Qadr
content/page-598,098-Al-Bayyina,98,8,098-Al-Bayyina
content/page-599,099-Az-Zalzala,99,8,099-Az-Zalzala
content/page-599,100-Al-Adiyat,100,11,100-Al-Adiyat
content/page-600,101-Al-Qaria,101,11,101-Al-Qaria
content/page-600,102-At-Takathur,102,8,102-At-Takathur
content/page-601,103-Al-Asr,103,3,103-Al-Asr
content/page-601,104-Al-Humaza,104,9,104-Al-Humaza
content/page-601,105-Al-Fil,105,5,105-Al-Fil
content/page-602,106-Quraish,106,4,106-Quraish
content/page-602,107-Al-Maun,107,7,107-Al-Maun
content/page-602,108-Al-Kauther,108,3,108-Al-Kauther
content/page-603,109-Al-Kafiroon,109,6,109-Al-Kafiroon
content/page-603,110-An-Nasr,110,3,110-An-Nasr
content/page-603,111-Al-Masadd,111,5,111-Al-Masadd
content/page-604,112-Al-Ikhlas,112,4,112-Al-Ikhlas
content/page-604,113-Al-Falaq,113,5,113-Al-Falaq
content/page-604,114-An-Nas,114,6,114-An-Nas
